subject_id,T001s: Country,T001s: County,T001s: State/Province,T002t: Scientific Name,T003t: Location,T006t: Collected By,T008s: Month,T009s: Day,T010s: Year,T012t: Other Notes,T013s: Sex,T016t: Latitude,T017t: Longitude,T018t: Elevation,T020t: DNA Voucher Number,subject_associatedCollectors,subject_associatedTaxa,subject_basisOfRecord,subject_catalogNumber,subject_class,subject_collectionCode,subject_coordinateUncertaintyInMeters,subject_country,subject_county,subject_cultivationStatus,subject_dataGeneralizations,subject_dateIdentified,subject_day,subject_decimalLatitude,subject_decimalLongitude,subject_disposition,subject_dynamicProperties,subject_endDayOfYear,subject_establishmentMeans,subject_eventDate,subject_family,subject_fieldNumber,subject_file1,subject_file2,subject_genus,subject_geodeticDatum,subject_georeferenceProtocol,subject_georeferenceRemarks,subject_georeferenceSources,subject_georeferenceVerificationStatus,subject_georeferencedBy,subject_habitat,subject_identificationQualifier,subject_identificationReferences,subject_identificationRemarks,subject_identifiedBy,subject_individualCount,subject_informationWithheld,subject_infraspecificEpithet,subject_institutionCode,subject_kingdom,subject_lifeStage,subject_locality,subject_localitySecurity,subject_localitySecurityReason,subject_locationRemarks,subject_maximumDepthInMeters,subject_maximumElevationInMeters,subject_minimumDepthInMeters,subject_minimumElevationInMeters,subject_month,subject_municipality,subject_occurrenceID,subject_occurrenceRemarks,subject_order,subject_otherCatalogNumbers,subject_phylum,subject_preparations,subject_recordNumber,subject_recordedBy,subject_recordedByID,subject_reproductiveCondition,subject_retired,subject_samplingEffort,subject_samplingProtocol,subject_scientificName,subject_scientificNameAuthorship,subject_sex,subject_specificEpithet,subject_startDayOfYear,subject_stateProvince,subject_substrate,subject_taxonRank,subject_taxonRemarks,subject_typeStatus,subject_verbatimAttributes,subject_verbatimCoordinates,subject_verbatimDepth,subject_verbatimElevation,subject_verbatimEventDate,subject_year
2192905,Unknown Country,,,Chilasa (?) Toboroi,<NO MATCHES>,<NO MATCHES>,Not Shown,Not Shown,Not Shown,HLO107,Female,,,,,,,PreservedSpecimen,HLOPP187,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP187Dorsal.JPG,HLOPP187Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:08:09.203Z', 'workflow_id': 2054, 'id': 1980394, 'subject_id': 2192905, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-17T20:38:20.998Z', 'retired_at': '2016-06-17T20:38:20.966Z'}",,,,,,,,,,,,,,,,,,
2192907,Papua New Guinea,,,Chilasa toboroi,Bougainville Independent Archipelago,,11 - November - XI,Not Shown,1919,Allyn Museum Acc. 1967-1,Not shown,,,,,,,PreservedSpecimen,HLOPP188,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP188Dorsal.JPG,HLOPP188Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T22:16:17.308Z', 'workflow_id': 2054, 'id': 1985769, 'subject_id': 2192907, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-19T19:07:36.960Z', 'retired_at': '2016-06-19T19:07:36.775Z'}",,,,,,,,,,,,,,,,,,
2192910,Mexico,,,P. rogeri rogeri,,T. Escalante,8 - August - VIII,25,1966,,Male,,,,,,,PreservedSpecimen,HLOPP189,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP189Dorsal.JPG,HLOPP189Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-19T20:11:03.576Z', 'workflow_id': 2054, 'id': 1989059, 'subject_id': 2192910, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-28T15:53:51.861Z', 'retired_at': '2016-06-28T15:53:51.745Z'}",,,,,,,,,,,,,,,,,,
2192911,Guatemala,,,P. pilumnus,"Alta Verapaz: Baleu, Mpio San Cristobal Verapaz",E. C. Welling,7 - July - VII,6,1966,,Not shown,,,1850 m,LEP-33601,,,PreservedSpecimen,HLOPP18,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP18Dorsal.JPG,HLOPP18Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T21:50:52.968Z', 'workflow_id': 2054, 'id': 1981698, 'subject_id': 2192911, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-18T16:58:01.627Z', 'retired_at': '2016-06-18T16:58:01.543Z'}",,,,,,,,,,,,,,,,,,
2192914,Mexico,Tinúm,Yucatán,,Piste,T Escalante,8 - August - VIII,22,1956,MGCL/FLMNH Specimen no. 41016,Not shown,,,,,,,PreservedSpecimen,HLOPP190,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP190Dorsal.JPG,HLOPP190Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-21T13:46:54.879Z', 'workflow_id': 2054, 'id': 1991509, 'subject_id': 2192914, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T04:38:15.844Z', 'retired_at': '2016-06-22T04:38:15.727Z'}",,,,,,,,,,,,,,,,,,
2192917,Mexico,,Yucatán,P. rogeri rogeri,Piste,B. Weber,9 - September - IX,14,1967,,Female,,,,,,,PreservedSpecimen,HLOPP191,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP191Dorsal.JPG,HLOPP191Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T00:05:25.899Z', 'workflow_id': 2054, 'id': 1982304, 'subject_id': 2192917, 'classifications_count': 4, 'retirement_reason': None, 'updated_at': '2016-06-17T22:57:10.610Z', 'retired_at': '2016-06-17T22:57:10.595Z'}",,,,,,,,,,,,,,,,,,
2192918,Mexico,,Yucatán,,Piste Yucatan,T Escalante,<NO MATCHES>,13,1956,,Not shown,,,,,,,PreservedSpecimen,HLOPP192,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP192Dorsal.JPG,HLOPP192Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T21:36:05.618Z', 'workflow_id': 2054, 'id': 1981607, 'subject_id': 2192918, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-25T15:16:15.545Z', 'retired_at': '2016-06-25T15:16:15.517Z'}",,,,,,,,,,,,,,,,,,
2192922,Mexico,,Yucatán,<NO MATCHES>,Piste,T. Escalante,9 - September - IX,14,1967,"A.C. Allyn, Acc. 1973-48
MGCL/ FLMNH / Specimen no. 41014",Not shown,,,,,,,PreservedSpecimen,HLOPP193,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP193Dorsal.JPG,HLOPP193Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T21:14:31.852Z', 'workflow_id': 2054, 'id': 1981462, 'subject_id': 2192922, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-21T10:36:45.157Z', 'retired_at': '2016-06-21T10:36:45.147Z'}",,,,,,,,,,,,,,,,,,
2192924,Mexico,,Yucatán,,,T. Escalante,9 - September - IX,22,1958,<NO MATCHES>,Not shown,,,,,,,PreservedSpecimen,HLOPP194,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP194Dorsal.JPG,HLOPP194Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-21T22:08:35.890Z', 'workflow_id': 2054, 'id': 1994861, 'subject_id': 2192924, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-28T15:41:28.525Z', 'retired_at': '2016-06-28T15:41:28.415Z'}",,,,,,,,,,,,,,,,,,
2192926,Mexico,,,,,,Not Shown,Not Shown,Not Shown,"Allyn Museum
Acc. 1966-1

MGCL/FLMNH
Specimen no.
41022",Not shown,,,,,,,PreservedSpecimen,HLOPP195,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP195Dorsal.JPG,HLOPP195Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T18:53:53.600Z', 'workflow_id': 2054, 'id': 1980274, 'subject_id': 2192926, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-23T10:13:54.303Z', 'retired_at': '2016-06-23T10:13:54.056Z'}",,,,,,,,,,,,,,,,,,
2192931,Unknown Country,,,Pap. anchisiades,,,Not Shown,Not Shown,Not Shown,A. C. Allyn Acc. 1969-20. MGCL/FLMNII Specimen no. 41021.,Male,,,,,,,PreservedSpecimen,HLOPP196,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP196Dorsal.JPG,HLOPP196Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T22:13:11.697Z', 'workflow_id': 2054, 'id': 1985757, 'subject_id': 2192931, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-19T17:57:23.209Z', 'retired_at': '2016-06-19T17:57:23.144Z'}",,,,,,,,,,,,,,,,,,
2192936,Mexico,,Yucatán,,Pisté Yucatan,T Escalante,9 - September - IX,2,1958,,Not shown,,,,<NO MATCHES>,,,PreservedSpecimen,HLOPP197,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP197Dorsal.JPG,HLOPP197Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T04:19:37.240Z', 'workflow_id': 2054, 'id': 1983221, 'subject_id': 2192936, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T00:27:26.574Z', 'retired_at': '2016-06-20T00:27:26.485Z'}",,,,,,,,,,,,,,,,,,
2192937,Mexico,,Oaxaca,,"Soyalapan El Bajo
Municipio Lomaltepac
Oaxaca",Soyalapan El Bajo,11 - November - XI,12,1961,,Not shown,,,,,,,PreservedSpecimen,HLOPP198,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP198Dorsal.JPG,HLOPP198Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T02:12:45.800Z', 'workflow_id': 2054, 'id': 1982689, 'subject_id': 2192937, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-25T07:26:05.466Z', 'retired_at': '2016-06-25T07:26:05.296Z'}",,,,,,,,,,,,,,,,,,
2192938,Mexico,,Yucatán,T Escalante,Pisté,,9 - September - IX,<NO MATCHES>,1958,"A.C. Allyn Acc. 1975-48, MGCL/FLMNH Specimen no. 41031",Not shown,,,,,,,PreservedSpecimen,HLOPP199,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP199Dorsal.JPG,HLOPP199Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T08:01:25.552Z', 'workflow_id': 2054, 'id': 1983882, 'subject_id': 2192938, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-17T21:47:18.013Z', 'retired_at': '2016-06-17T21:47:17.982Z'}",,,,,,,,,,,,,,,,,,
2192941,United States of America,Inyo,California,P. rutulus,0.2 mi. S of Willows Camp S. Fk Bishon Creek El. 9000',June & Floyd Preston,6 - June - VI,18,2003,,Not shown,,,,LEP-33602,,,PreservedSpecimen,HLOPP19,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP19Dorsal.JPG,HLOPP19Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-18T06:16:57.040Z', 'workflow_id': 2054, 'id': 1986177, 'subject_id': 2192941, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-24T18:46:20.530Z', 'retired_at': '2016-06-24T18:46:20.473Z'}",,,,,,,,,,,,,,,,,,
2192943,Mexico,,Yucatán,Papilio rogeri rogeri,Piste,T Escalente,9 - September - IX,12,1967,,Female,,,,,,,PreservedSpecimen,HLOPP200,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP200Dorsal.JPG,HLOPP200Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T00:39:30.907Z', 'workflow_id': 2054, 'id': 1982497, 'subject_id': 2192943, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-18T08:14:16.154Z', 'retired_at': '2016-06-18T08:14:16.029Z'}",,,,,,,,,,,,,,,,,,
2192945,Mexico,,Yucatán,,Pisté,"T. Escalante, A. C. Allyn",9 - September - IX,16,1958,A.C. Allyn Acc. 1973-48; MGCL/FLMNH Specimen no. 41035; Photographed for Lewis Dissertation,Not shown,,,,,,,PreservedSpecimen,HLOPP201,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP201Dorsal.JPG,HLOPP201Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T16:56:58.343Z', 'workflow_id': 2054, 'id': 1979829, 'subject_id': 2192945, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T01:21:08.204Z', 'retired_at': '2016-06-22T01:21:08.174Z'}",,,,,,,,,,,,,,,,,,
2192950,Mexico,,,,,T. Escalante,9 - September - IX,2,1958,A. C. Allyn Acc. 1973-48,Not shown,,,,,,,PreservedSpecimen,HLOPP202,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP202Dorsal.JPG,HLOPP202Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-19T20:48:13.092Z', 'workflow_id': 2054, 'id': 1989149, 'subject_id': 2192950, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T22:08:30.920Z', 'retired_at': '2016-06-22T22:08:30.844Z'}",,,,,,,,,,,,,,,,,,
2192955,Mexico,,Yucatán,,,not shown,8 - August - VIII,4,1957,A. C. Allyn Acc. 1973-48 MGCL/FLMNH Specimen no. 41025,Not shown,,,,,,,PreservedSpecimen,HLOPP203,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP203Dorsal.JPG,HLOPP203Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T21:16:30.945Z', 'workflow_id': 2054, 'id': 1981478, 'subject_id': 2192955, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-17T22:24:44.351Z', 'retired_at': '2016-06-17T22:24:44.143Z'}",,,,,,,,,,,,,,,,,,
2192958,Mexico,,Yucatán,,T. escalate Piste Yue a Tan,A C Allyn,9 - September - IX,15,1967,,Not shown,,,,,,,PreservedSpecimen,HLOPP204,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP204Dorsal.JPG,HLOPP204Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T20:01:31.235Z', 'workflow_id': 2054, 'id': 1985470, 'subject_id': 2192958, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-19T21:14:20.742Z', 'retired_at': '2016-06-19T21:14:20.488Z'}",,,,,,,,,,,,,,,,,,
2192961,Mexico,,Yucatán,,Pisté Yucatan,T. Escalante,9 - September - IX,26,1956,"A. C. Allyn Acc. 1973-48
MGCL/FLMNH Specimen no. 41026",Not shown,,,,,,,PreservedSpecimen,HLOPP205,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP205Dorsal.JPG,HLOPP205Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-20T00:33:56.984Z', 'workflow_id': 2054, 'id': 1989391, 'subject_id': 2192961, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-28T02:22:44.747Z', 'retired_at': '2016-06-28T02:22:44.460Z'}",,,,,,,,,,,,,,,,,,
2192966,Mexico,,Yucatán,,,T. S. Perkins,9 - September - IX,2,1958,<NO MATCHES>,Not shown,,,,,,,PreservedSpecimen,HLOPP206,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP206Dorsal.JPG,HLOPP206Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T18:07:54.465Z', 'workflow_id': 2054, 'id': 1985124, 'subject_id': 2192966, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T21:56:02.592Z', 'retired_at': '2016-06-20T21:56:02.579Z'}",,,,,,,,,,,,,,,,,,
2192969,Mexico,,,P. rogeri rogeri,"Piste, Yucatan",T. Escalante,10 - October - X,11,1956,HLOPP207 Photograph Butterflies of America 2008,Male,,,,,,,PreservedSpecimen,HLOPP207,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP207Dorsal.JPG,HLOPP207Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:58:10.027Z', 'workflow_id': 2054, 'id': 1980940, 'subject_id': 2192969, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T21:54:03.832Z', 'retired_at': '2016-06-20T21:54:03.682Z'}",,,,,,,,,,,,,,,,,,
2192972,Unknown Country,,,,,T. Escalante,9 - September - IX,5,1958,G. Roo. A. C. Allyn Acc. 1973-48. MGCL/FLMNH Specimen no. 41017,Not shown,,,,,,,PreservedSpecimen,HLOPP208,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP208Dorsal.JPG,HLOPP208Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-21T04:29:03.513Z', 'workflow_id': 2054, 'id': 1990718, 'subject_id': 2192972, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-27T16:59:31.700Z', 'retired_at': '2016-06-27T16:59:31.667Z'}",,,,,,,,,,,,,,,,,,
2192976,Mexico,,Yucatán,,PISTE,A.C. Allyn? T. Escalante?,10 - October - X,2,1956,,Not shown,,,,,,,PreservedSpecimen,HLOPP209,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP209Dorsal.JPG,HLOPP209Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T18:01:37.582Z', 'workflow_id': 2054, 'id': 1985118, 'subject_id': 2192976, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T21:33:54.326Z', 'retired_at': '2016-06-20T21:33:54.230Z'}",,,,,,,,,,,,,,,,,,
2192981,United States of America,Lemhi,Idaho,Pterourus rutulus rutulus,"Lemhi Co., ID: North Fork of Salmon River at Deep Creek by US-93",D L Eiler,7 - July - VII,3,1988,D L Eiler colln. Allyn Museum Acc. 2004-5,Not shown,,,,LEP-33603,,,PreservedSpecimen,HLOPP20,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP20Dorsal.JPG,HLOPP20Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T11:42:11.726Z', 'workflow_id': 2054, 'id': 1984333, 'subject_id': 2192981, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-17T22:19:42.393Z', 'retired_at': '2016-06-17T22:19:42.315Z'}",,,,,,,,,,,,,,,,,,
2192983,Mexico,,Yucatán,,T. Escalante Piste,T. Escalante,7 - July - VII,28,1957,<NO MATCHES>,Not shown,,,,,,,PreservedSpecimen,HLOPP210,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP210Dorsal.JPG,HLOPP210Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T18:06:51.945Z', 'workflow_id': 2054, 'id': 1985122, 'subject_id': 2192983, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T17:17:49.240Z', 'retired_at': '2016-06-22T17:17:49.136Z'}",,,,,,,,,,,,,,,,,,
2192987,Mexico,,Yucatán,T. Escalante,Piste,A.C. Allyn,10 - October - X,2,1956,,Not shown,,,,,,,PreservedSpecimen,HLOPP211,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP211Dorsal.JPG,HLOPP211Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T20:57:25.932Z', 'workflow_id': 2054, 'id': 1981352, 'subject_id': 2192987, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-17T19:08:24.438Z', 'retired_at': '2016-06-17T19:08:24.405Z'}",,,,,,,,,,,,,,,,,,
2192990,Unknown Country,,,,,T. Escalante,6 - June - VI,30,1966,"A. C. Allyn Acc. 1973-48
MGCL/FLMNH Specimen no. 41019",Not shown,,,,,,,PreservedSpecimen,HLOPP212,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP212Dorsal.JPG,HLOPP212Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-19T04:50:10.349Z', 'workflow_id': 2054, 'id': 1987798, 'subject_id': 2192990, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-27T02:39:33.953Z', 'retired_at': '2016-06-27T02:39:33.918Z'}",,,,,,,,,,,,,,,,,,
2192995,Mexico,,Quintana Roo,,,A. C. Allyn,8 - August - VIII,5,1962,,Not shown,,,,,,,PreservedSpecimen,HLOPP213,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP213Dorsal.JPG,HLOPP213Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T23:08:06.021Z', 'workflow_id': 2054, 'id': 1982097, 'subject_id': 2192995, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-28T11:12:43.726Z', 'retired_at': '2016-06-28T11:12:43.645Z'}",,,,,,,,,,,,,,,,,,
2192997,Unknown Country,,,,,"T. Escalante, A. C. Allyn",10 - October - X,Not Shown,<NO MATCHES>,"A. C. Allyn Acc. 1973-48, MGCL/FLMNH, Specimen no. 41435",Not shown,,,,,,,PreservedSpecimen,HLOPP214,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP214Dorsal.JPG,HLOPP214Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T18:22:43.363Z', 'workflow_id': 2054, 'id': 1985174, 'subject_id': 2192997, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T00:57:26.095Z', 'retired_at': '2016-06-22T00:57:25.882Z'}",,,,,,,,,,,,,,,,,,
2193001,Mexico,,Quintana Roo,Papilo rogeri Boisduval,<NO MATCHES>,G T Austin Collin,9 - September - IX,9,1981,,Not shown,,,,,,,PreservedSpecimen,HLOPP215,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP215Dorsal.JPG,HLOPP215Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T20:43:34.313Z', 'workflow_id': 2054, 'id': 1981252, 'subject_id': 2193001, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T10:57:11.574Z', 'retired_at': '2016-06-22T10:57:11.475Z'}",,,,,,,,,,,,,,,,,,
2193010,Mexico,,Yucatán,T Escalante,T. Escalante,A. C. Allyn,10 - October - X,20,1958,,Not shown,,,,,,,PreservedSpecimen,HLOPP216,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP216Dorsal.JPG,HLOPP216Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T15:03:30.628Z', 'workflow_id': 2054, 'id': 1984769, 'subject_id': 2193010, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T20:46:21.718Z', 'retired_at': '2016-06-20T20:46:21.578Z'}",,,,,,,,,,,,,,,,,,
2193013,Mexico,,Yucatán,,Piste,A.C. Allen,<NO MATCHES>,23,1957,A. C. Allyn Acc. 1973-48. MGCL/FLMNH Specimen no. 41024.,Not shown,,,,,,,PreservedSpecimen,HLOPP217,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP217Dorsal.JPG,HLOPP217Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T18:35:03.206Z', 'workflow_id': 2054, 'id': 1980100, 'subject_id': 2193013, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-19T04:19:55.389Z', 'retired_at': '2016-06-19T04:19:55.204Z'}",,,,,,,,,,,,,,,,,,
2193016,Mexico,,,,X-can Q. Roo,"T Escalante, A. C. Allyn",7 - July - VII,27,1957,"A. C. Allyn Acc. 1973-48
MGCL/FLMNH Specimen no. 41038",Not shown,,,,,,,PreservedSpecimen,HLOPP218,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP218Dorsal.JPG,HLOPP218Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T00:12:51.699Z', 'workflow_id': 2054, 'id': 1982340, 'subject_id': 2193016, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-27T17:10:33.835Z', 'retired_at': '2016-06-27T17:10:33.736Z'}",,,,,,,,,,,,,,,,,,
